Date,Open,High,Low,Close,Adj Close,Volume
2008-11-18,5.530000,5.740000,5.270000,5.500000,5.500000,7183900
2008-11-19,5.520000,5.580000,4.410000,4.450000,4.450000,7496500
2008-11-20,4.460000,4.650000,3.880000,3.990000,3.990000,6984600
2008-11-21,4.120000,4.350000,3.630000,3.970000,3.970000,8289100
2008-11-24,4.020000,4.360000,3.980000,4.320000,4.320000,7916400
2008-11-25,4.430000,5.000000,4.320000,4.960000,4.960000,7874400
2008-11-26,4.900000,5.320000,4.750000,5.100000,5.100000,4439900
2008-11-28,5.100000,5.260000,5.000000,5.240000,5.240000,1356600
2008-12-01,5.120000,5.230000,4.730000,4.760000,4.760000,4555500
2008-12-02,4.950000,5.010000,4.630000,5.000000,5.000000,4305800
2008-12-03,4.860000,5.200000,4.780000,5.180000,5.180000,4634100
2008-12-04,5.050000,5.640000,4.910000,5.440000,5.440000,6217000
2008-12-05,5.320000,5.750000,5.250000,5.650000,5.650000,9119400
2008-12-08,5.850000,5.990000,5.610000,5.900000,5.900000,6227000
2008-12-09,6.000000,6.000000,5.530000,5.570000,5.570000,3772800
2008-12-10,5.360000,5.570000,5.250000,5.530000,5.530000,3732400
2008-12-11,5.450000,5.480000,5.200000,5.290000,5.290000,4117300
2008-12-12,5.120000,5.600000,5.110000,5.550000,5.550000,3434700
2008-12-15,5.560000,5.600000,5.230000,5.360000,5.360000,3002000
2008-12-16,5.400000,5.940000,5.370000,5.920000,5.920000,3796700
2008-12-17,5.800000,6.080000,5.740000,6.040000,6.040000,7154900
2008-12-18,6.100000,6.390000,6.090000,6.190000,6.190000,5719200
2008-12-19,6.350000,6.480000,6.160000,6.370000,6.370000,5523300
2008-12-22,6.380000,6.420000,6.100000,6.270000,6.270000,3358600
2008-12-23,6.340000,6.460000,6.200000,6.260000,6.260000,4692900
2008-12-24,6.250000,6.660000,6.250000,6.600000,6.600000,1867500
2008-12-26,6.600000,6.670000,6.470000,6.590000,6.590000,1571200
2008-12-29,6.490000,6.620000,6.410000,6.590000,6.590000,2956300
